Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,Marital_Status,Education
58138,0,0,58,635,88,546,172,88,88,1529,3,8,10,4,7,0,0,0,0,0,0,1,60,2822,Single,Graduation
46344,1,1,38,11,1,6,2,1,6,21,2,1,1,2,5,0,0,0,0,0,0,0,63,2272,Single,Graduation
71613,0,0,26,426,49,127,111,21,42,734,1,8,2,10,4,0,0,0,0,0,0,0,52,2471,Together,Graduation
26646,1,0,26,11,4,20,10,3,5,48,2,2,0,4,6,0,0,0,0,0,0,0,33,2298,Together,Graduation
58293,1,0,94,173,43,118,46,27,15,407,5,5,3,6,5,0,0,0,0,0,0,0,36,2320,Married,PhD
62513,0,1,16,520,42,98,0,42,14,702,2,6,4,10,6,0,0,0,0,0,0,0,50,2452,Together,Master
55635,0,1,34,235,65,164,50,49,27,563,4,7,3,7,6,0,0,0,0,0,0,0,46,2752,Divorced,Graduation
33454,1,0,32,76,10,56,3,1,23,146,2,4,0,4,8,0,0,0,0,0,0,0,32,2576,Married,PhD
30351,1,0,19,14,0,24,3,3,2,44,1,3,0,2,9,0,0,0,0,0,0,1,43,2547,Together,PhD
5648,1,1,68,28,0,6,1,1,13,36,1,1,0,0,20,1,0,0,0,0,0,0,67,2267,Together,PhD
7500,0,0,59,6,16,11,11,1,16,45,1,2,0,3,8,0,0,0,0,0,0,0,41,2752,Married,Basic
63033,0,0,82,194,61,480,225,112,30,1072,1,3,4,8,2,0,0,0,0,0,0,0,58,2385,Divorced,Graduation
59354,1,1,53,233,2,53,3,5,14,296,3,6,1,5,6,0,0,0,0,0,0,0,65,2385,Divorced,Master
17323,0,0,38,3,14,17,6,1,5,41,1,1,0,3,8,0,0,0,0,0,0,0,30,2786,Married,Graduation
82800,0,0,23,1006,22,115,59,68,45,1270,1,7,6,12,3,0,0,1,1,0,0,1,71,2741,Single,PhD
41850,1,1,51,53,5,19,2,13,4,92,3,3,0,3,8,0,0,0,0,0,0,0,37,2711,Married,Graduation
37760,0,0,20,84,5,38,150,12,28,289,2,4,1,6,7,0,0,0,0,0,0,0,71,2826,Together,Graduation
76995,0,1,91,1012,80,498,0,16,176,1606,2,11,4,9,5,0,0,0,1,0,0,0,68,2617,Married,Master
33812,1,0,86,4,17,19,30,24,39,94,2,2,1,3,6,0,0,0,0,0,0,0,32,2762,Single,2n cycle
37040,0,0,41,86,2,73,69,38,48,268,1,4,2,5,8,0,0,0,0,0,0,0,35,2849,Married,Graduation
2447,1,0,42,1,1,1725,1,1,1,1729,15,0,28,0,1,0,0,0,0,0,0,0,38,2698,Married,Graduation
58607,0,1,63,867,0,86,0,0,19,953,3,2,3,9,8,0,1,0,0,0,0,0,68,2712,Married,PhD
65324,0,1,0,384,0,102,21,32,5,539,3,6,2,9,4,0,0,0,0,0,0,0,63,2328,Married,PhD
40689,0,1,69,270,3,27,39,6,99,345,7,7,1,5,8,0,0,0,0,0,0,0,66,2627,Together,Graduation
18589,0,0,89,6,4,25,15,12,13,62,2,2,1,3,7,0,0,0,0,0,0,0,48,2702,Single,Graduation
53359,1,1,4,173,4,30,3,6,41,216,4,5,1,4,7,0,0,0,0,0,0,0,41,2557,Married,Graduation
